Month;Peak active players
April 2024;45,134
March 2024;6,627
February 2024;6,428
January 2024;6,754
December 2023;6,149
November 2023;5,546
October 2023;5,551
September 2023;5,861
August 2023;7,234
July 2023;8,036
June 2023;8,375
May 2023;7,026
April 2023;6,444
March 2023;6,325
February 2023;6,328
January 2023;6,914
December 2022;6,103
November 2022;7,026
October 2022;7,451
September 2022;6,966
August 2022;8,949
July 2022;7,607
June 2022;6,875
May 2022;5,722
April 2022;5,83
March 2022;6,498
February 2022;7,099
January 2022;7,302
December 2021;6,397
November 2021;6,515
October 2021;7,684
September 2021;8,048
August 2021;10,205;
July 2021;8,528
June 2021;7,726
May 2021;7,904
April 2021;6,526
March 2021;7,121
February 2021;10,775
January 2021;13,635
December 2020;9,065
November 2020;7,595
October 2020;9,067
September 2020;5,189
August 2020;6,343
July 2020;6,061
June 2020;5,882
May 2020;5,869
April 2020;6,348
March 2020;6,153
February 2020;4,855
January 2020;4,846
December 2019;5,42
November 2019;6,797
October 2019;6,628
September 2019;4,793
August 2019;5,882
July 2019;6,396
June 2019;5,289
May 2019;5,135
April 2019;4,155
March 2019;4,641
February 2019;5,369
January 2019;6,734
December 2018;7,075
November 2018;7,02
October 2018;8,887
September 2018;5,456
August 2018;6,994
July 2018;9,753
June 2018;10,847
May 2018;5,939
April 2018;5,414
March 2018;5,747
February 2018;6,037
January 2018;6,457
December 2017;6,281
November 2017;6,524
October 2017;7,401;
September 2017;7,349
August 2017;7,593
July 2017;7,37
June 2017;7,046
May 2017;5,37
April 2017;5,316
March 2017;4,578
February 2017;4,957
January 2017;5,066
December 2016;4,24
November 2016;4,5
October 2016;4,571
September 2016;4,047
August 2016;4,801
July 2016;4,501
June 2016;4,367
May 2016;4,146
April 2016;4,218
March 2016;4,39
February 2016;6,005;
January 2016;7,659
December 2015;10,787;
November 2015;19,584
October 2015;17,475
September 2015;11,596
August 2015;14,748
July 2015;19,766
June 2015;30,309
May 2015;7,999
April 2015;7,184
March 2015;8,422
February 2015;8,471
January 2015;9,935
December 2014;10,656
November 2014;9,784
October 2014;7,97
September 2014;7,175
August 2014;9,369
July 2014;13,878
June 2014;11,719
May 2014;6,981
April 2014;6,767
March 2014;7,24
February 2014;8,53
January 2014;12,983
December 2013;12,753
November 2013;8,747
October 2013;6,913
September 2013;8,265
August 2013;15,977
July 2013;14,754
June 2013;6,56
May 2013;6,007
April 2013;6,254
March 2013;6,103
February 2013;6,275
January 2013;6,568
December 2012;6,451
November 2012;6,372
October 2012;5,387
September 2012;6,824
August 2012;13,186
July 2012;12,831
June 2012;5,339
May 2012;5,51
April 2012;5,581
March 2012;5,67
February 2012;5,816
January 2012;7,284
December 2011;6,116
November 2011;7,535
October 2011;10,436
September 2011;10,69
August 2011;14,053
July 2011;12,418
June 2011;6,861
May 2011;8,215
April 2011;6,317
March 2011;8,791
February 2011;10,002
January 2011;15,937
December 2010;16,122
November 2010;33,656
October 2010;51,038
